#------------------------------------------------------------------------------------------------------
# GEOGTRAN deprecated table
#
# syntax: [GEOGTRAN,] factory-code, status
#------------------------------------------------------------------------------------------------------

PE_GT_GDA_1994_TO_GDA2020_NTV2_CD, discontinued
PE_GT_VOIROL_UNIFIE_1960_PARIS_TO_WGS_1984, discontinued
PE_GT_VOIROL_UNIFIE_1960_TO_WGS_1984, discontinued
PE_GT_NAPARIMA_1972_TO_WGS_1984_2, discontinued
108098, dead
PE_GT_DATUM_73_TO_WGS_1984_2, discontinued
PE_GT_POHNPEI_TO_NAD_1983, discontinued
PE_GT_BAB_SOUTH_TO_NAD_1983, discontinued
PE_GT_MAJURO_TO_NAD_1983, discontinued
PE_GT_PULKOVO_1942_TO_ETRF_1989, discontinued
PE_GT_EUREF_FIN_TO_ETRS_1989, discontinued
PE_GT_EUREF_FIN_TO_WGS_1984, discontinued
PE_GT_LC5_1961_TO_WGS_1984, discontinued
PE_GT_ED_1950_TO_WGS_1984_9, discontinued
PE_GT_NAD_1983_TO_HARN_OW, discontinued
PE_GT_NAD_1983_TO_HARN_IM, discontinued
PE_GT_GUAM_1963_TO_NAD_1983_HARN_SAIPAN, discontinued
PE_GT_GUAM_1963_TO_NAD_1983_HARN_ROTA, discontinued
PE_GT_OLD_HAWAIIAN_TO_NAD_1983_HARN_HI, discontinued
108308, dead
108309, dead
108310, dead
108311, dead
108312, dead
108313, dead
108314, dead
108315, dead
108316, dead
108317, dead
108318, dead
108319, dead
108320, dead
108321, dead
108322, dead
108323, dead
108324, dead
108325, dead
108326, dead
108327, dead
108328, dead
108329, dead
108373, dead
PE_GT_NAD_1983_HARN_TO_NAD_1983_PA11, discontinued
PE_GT_KKJ_TO_ETRS_1989_2, discontinued
