#------------------------------------------------------------------------------------------------------
# PROJCS axis table
#
# syntax: [PROJCS,] cs-code, axis-code
#------------------------------------------------------------------------------------------------------

PE_PCS_XIAN_1980_3_DEGREE_GK_41, NE
PE_PCS_XIAN_1980_3_DEGREE_GK_42, NE
PE_PCS_XIAN_1980_3_DEGREE_GK_43, NE
PE_PCS_XIAN_1980_3_DEGREE_GK_44, NE
PE_PCS_XIAN_1980_3_DEGREE_GK_45, NE
PE_PCS_XIAN_1980_3_DEGREE_GK_75E, NE
PE_PCS_XIAN_1980_3_DEGREE_GK_78E, NE
PE_PCS_XIAN_1980_3_DEGREE_GK_81E, NE
PE_PCS_XIAN_1980_3_DEGREE_GK_84E, NE
PE_PCS_XIAN_1980_3_DEGREE_GK_87E, NE
PE_PCS_XIAN_1980_3_DEGREE_GK_90E, NE
PE_PCS_XIAN_1980_3_DEGREE_GK_93E, NE
PE_PCS_XIAN_1980_3_DEGREE_GK_96E, NE
PE_PCS_XIAN_1980_3_DEGREE_GK_99E, NE
PE_PCS_XIAN_1980_3_DEGREE_GK_102E, NE
PE_PCS_XIAN_1980_3_DEGREE_GK_105E, NE
PE_PCS_XIAN_1980_3_DEGREE_GK_108E, NE
PE_PCS_XIAN_1980_3_DEGREE_GK_111E, NE
PE_PCS_XIAN_1980_3_DEGREE_GK_114E, NE
PE_PCS_XIAN_1980_3_DEGREE_GK_117E, NE
PE_PCS_XIAN_1980_3_DEGREE_GK_120E, NE
PE_PCS_XIAN_1980_3_DEGREE_GK_123E, NE
PE_PCS_XIAN_1980_3_DEGREE_GK_126E, NE
PE_PCS_XIAN_1980_3_DEGREE_GK_129E, NE
PE_PCS_XIAN_1980_3_DEGREE_GK_132E, NE
PE_PCS_XIAN_1980_3_DEGREE_GK_135E, NE
PE_PCS_KKJ_FINLAND_1, NE
PE_PCS_KKJ_FINLAND_2, NE
PE_PCS_KKJ_FINLAND_3, NE
PE_PCS_KKJ_FINLAND_4, NE
PE_PCS_SOUTH_YEMEN_GK_8, NE
PE_PCS_SOUTH_YEMEN_GK_9, NE
PE_PCS_PULKOVO_1942_ADJ_1983_3_DEG_GK_3, NE
PE_PCS_PULKOVO_1942_ADJ_1983_3_DEG_GK_4, NE
PE_PCS_PULKOVO_1942_ADJ_1983_3_DEG_GK_5, NE
PE_PCS_RT90_25_GON_W, NE
PE_PCS_BEIJING_1954_3_DEGREE_GK_25, NE
PE_PCS_BEIJING_1954_3_DEGREE_GK_26, NE
PE_PCS_BEIJING_1954_3_DEGREE_GK_27, NE
PE_PCS_BEIJING_1954_3_DEGREE_GK_28, NE
PE_PCS_BEIJING_1954_3_DEGREE_GK_29, NE
PE_PCS_BEIJING_1954_3_DEGREE_GK_30, NE
PE_PCS_BEIJING_1954_3_DEGREE_GK_31, NE
PE_PCS_BEIJING_1954_3_DEGREE_GK_32, NE
PE_PCS_BEIJING_1954_3_DEGREE_GK_33, NE
PE_PCS_BEIJING_1954_3_DEGREE_GK_34, NE
PE_PCS_BEIJING_1954_3_DEGREE_GK_35, NE
PE_PCS_BEIJING_1954_3_DEGREE_GK_36, NE
