#------------------------------------------------------------------------------------------------------
# PROJCS deprecated table
#
# syntax: [PROJCS,] factory-code, status
#------------------------------------------------------------------------------------------------------

PE_PCS_OSGB_1936_HWY_ENG_A14H2, discontinued
PE_PCS_OSGB_1936_HWY_ENG_A15H1, discontinued
PE_PCS_OSGB_1936_HWY_ENG_A15H2, discontinued
PE_PCS_OSGB_1936_HWY_ENG_A16H1, discontinued
PE_PCS_OSGB_1936_HWY_ENG_A16H2, discontinued
PE_PCS_OSGB_1936_HWY_ENG_A17H1, discontinued
PE_PCS_OSGB_1936_HWY_ENG_A17H2, discontinued
PE_PCS_OSGB_1936_HWY_ENG_A18H1, discontinued
PE_PCS_OSGB_1936_HWY_ENG_A18H2, discontinued
PE_PCS_OSGB_1936_HWY_ENG_A19H1, discontinued
PE_PCS_OSGB_1936_HWY_ENG_A19H2, discontinued
PE_PCS_OSGB_1936_HWY_ENG_A20H1, discontinued
PE_PCS_OSGB_1936_HWY_ENG_A20H2, discontinued
PE_PCS_OSGB_1936_HWY_ENG_A21H1, discontinued
PE_PCS_OSGB_1936_HWY_ENG_A21H2, discontinued
PE_PCS_OSGB_1936_HWY_ENG_A22H1, discontinued
PE_PCS_OSGB_1936_HWY_ENG_A22H2, discontinued
PE_PCS_OSGB_1936_HWY_ENG_A23H1, discontinued
PE_PCS_OSGB_1936_HWY_ENG_A23H2, discontinued
PE_PCS_OSGB_1936_HWY_ENG_A24H1, discontinued
PE_PCS_OSGB_1936_HWY_ENG_A24H2, discontinued
PE_PCS_OSGB_1936_HWY_ENG_A25H1, discontinued
PE_PCS_OSGB_1936_HWY_ENG_A25H2, discontinued
PE_PCS_OSGB_1936_HWY_ENG_A26H1, discontinued
PE_PCS_OSGB_1936_HWY_ENG_A26H2, discontinued
PE_PCS_OSGB_1936_HWY_ENG_A27H1, discontinued
PE_PCS_OSGB_1936_HWY_ENG_A27H2, discontinued
PE_PCS_OSGB_1936_HWY_ENG_A28H1, discontinued
PE_PCS_OSGB_1936_HWY_ENG_A28H2, discontinued
PE_PCS_OSGB_1936_HWY_ENG_A29H1, discontinued
PE_PCS_OSGB_1936_HWY_ENG_A30H1, discontinued
PE_PCS_OSGB_1936_HWY_ENG_B15H1, discontinued
PE_PCS_OSGB_1936_HWY_ENG_B15H2, discontinued
PE_PCS_OSGB_1936_HWY_ENG_B15H3, discontinued
PE_PCS_OSGB_1936_HWY_ENG_B16H1, discontinued
PE_PCS_OSGB_1936_HWY_ENG_B16H2, discontinued
PE_PCS_OSGB_1936_HWY_ENG_B16H3, discontinued
PE_PCS_OSGB_1936_HWY_ENG_B16H4, discontinued
PE_PCS_OSGB_1936_HWY_ENG_B17H1, discontinued
PE_PCS_OSGB_1936_HWY_ENG_B17H2, discontinued
PE_PCS_OSGB_1936_HWY_ENG_B18H1, discontinued
PE_PCS_OSGB_1936_HWY_ENG_B18H2, discontinued
PE_PCS_OSGB_1936_HWY_ENG_B19H1, discontinued
PE_PCS_OSGB_1936_HWY_ENG_B20H1, discontinued
PE_PCS_OSGB_1936_HWY_ENG_B21H1, discontinued
PE_PCS_OSGB_1936_HWY_ENG_B22H1, discontinued
PE_PCS_OSGB_1936_HWY_ENG_B23H1, discontinued
PE_PCS_OSGB_1936_HWY_ENG_B24H1, discontinued
PE_PCS_OSGB_1936_HWY_ENG_B25H1, discontinued
PE_PCS_OSGB_1936_HWY_ENG_B26H1, discontinued
PE_PCS_OSGB_1936_HWY_ENG_B27H1, discontinued
PE_PCS_OSGB_1936_HWY_ENG_B28H1, discontinued
PE_PCS_OSGB_1936_HWY_ENG_B29H1, discontinued
PE_PCS_OSGB_1936_HWY_ENG_B30H1, discontinued
PE_PCS_OSGB_1936_HWY_ENG_B31H1, discontinued
PE_PCS_OSGB_1936_HWY_ENG_B32H1, discontinued
PE_PCS_OSGB_1936_HWY_ENG_C13H1, discontinued
PE_PCS_OSGB_1936_HWY_ENG_C14H1, discontinued
PE_PCS_OSGB_1936_HWY_ENG_C14H2, discontinued
PE_PCS_OSGB_1936_HWY_ENG_C14H3, discontinued
PE_PCS_OSGB_1936_HWY_ENG_C14H4, discontinued
PE_PCS_OSGB_1936_HWY_ENG_C15H1, discontinued
PE_PCS_OSGB_1936_HWY_ENG_C15H2, discontinued
PE_PCS_OSGB_1936_HWY_ENG_C15H3, discontinued
PE_PCS_OSGB_1936_HWY_ENG_C15H4, discontinued
PE_PCS_OSGB_1936_HWY_ENG_C15H5, discontinued
PE_PCS_OSGB_1936_HWY_ENG_C16H1, discontinued
PE_PCS_OSGB_1936_HWY_ENG_C16H2, discontinued
PE_PCS_OSGB_1936_HWY_ENG_C16H3, discontinued
PE_PCS_OSGB_1936_HWY_ENG_C16H4, discontinued
PE_PCS_OSGB_1936_HWY_ENG_C17H1, discontinued
PE_PCS_OSGB_1936_HWY_ENG_C17H2, discontinued
PE_PCS_OSGB_1936_HWY_ENG_C18H1, discontinued
PE_PCS_OSGB_1936_HWY_ENG_C18H2, discontinued
PE_PCS_OSGB_1936_HWY_ENG_C19H1, discontinued
PE_PCS_OSGB_1936_HWY_ENG_C19H2, discontinued
PE_PCS_ETRF_1989_UTM_28N, discontinued
PE_PCS_ETRF_1989_UTM_29N, discontinued
PE_PCS_ETRF_1989_UTM_30N, discontinued
PE_PCS_ETRF_1989_UTM_31N, discontinued
PE_PCS_ETRF_1989_UTM_32N, discontinued
PE_PCS_ETRF_1989_UTM_33N, discontinued
PE_PCS_ETRF_1989_UTM_34N, discontinued
PE_PCS_ETRF_1989_UTM_35N, discontinued
PE_PCS_ETRF_1989_UTM_36N, discontinued
PE_PCS_ETRF_1989_UTM_37N, discontinued
PE_PCS_ETRF_1989_UTM_38N, discontinued
PE_PCS_ETRF_1989_TM_BALTIC_1993, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_AD_M, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_AL_M, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_BA_M, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_BR_M, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_BU_M, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_CL_M, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_CK_M, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_DD_M, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_DR_M, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_DG_M, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_DU_M, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_FN_M, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_FL_M, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_FR_M, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_GT_M, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_IA_M, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_IR_M, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_JF_M, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_JN_M, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_KN_M, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_KW_M, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_LC_M, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_LN_M, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_MT_M, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_MN_M, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_ME_M, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_MW_M, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_OC_M, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_OG_M, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_OZ_M, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_PK_M, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_PR_M, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_RA_M, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_RK_M, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_RS_M, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_SC_M, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_SK_M, discontinued
